Text,Label
আমার কথা কখনও কি পড়বে তোমার মনে। যদি কখনও খবর পাও আমার চলে যাওয়ার কথা ,anger
সঠিক সিদ্ধান্ত। ধন্যবাদ পি এম। ,joy
অতিরিক্ত সময়ে যখন মনে হচ্ছিল কারও পা চলছে না ,anger
আফ্রিদি ভাইয়ের শেরওয়ানি তা অনেক সুন্দর ,joy
নটির পুয়াইনতর পুটকির খাল তুলো ডান্ডা দিয়া ,sadness
আসলে যে খেলে সেই বুঝে খেলাটা কি  ,anger
"সত্যি ভালোবাসা করে যার ভেঙে গেছে সেই বুঝতে পারে এই গানের বেথা।,😭😭😭😭😭 ",anger
সুন্দর একটা ব্লগ ছিলো।🥰 ,love
আমি চিকন মানুষ ,anger
আমি ২৩০ টাকা দিয়ে কিনেছি সুলতানি টুপি ,joy
হিহিহি মুই হাচ জানুয়ারি 😂 ,joy
মানুষের দোয়া-ভালোবাসা নিয়ে সাফল্যের হিমালয় পেরিয়ে যান ,love
চমক ভাই সত্যিই একটা চমক ।। ,love
আপু তোমার গরুর মাংসের রেসেপি চাই। ,joy
নুরের আলো মাদিনা চেনেল ,joy
"কুনো বিএনপি নাই, তবে ভোট দিতে দেয়ার উচিৎ চিলো ",anger
আয়মান রে অনেক ছেলেরা পুটকি মারছে।। ,sadness
তার সুখ মরে যায়। সুখী হবার সহজ উপায় বিবেকহীন হওয়া ,anger
কেন হঠাৎ তুমি এলে ,anger
একসাথে দুই খ্যাতকে ভাল্লাগতাসে 😃😃😃 ,joy
জীবনে আপনার মত হতে চাই ,love
"অনুষ্ঠান আয়োজন করছে যারা,,, সেই শালারা কি জানো না বাংলাদেশে কি মডেল নাই,,,। বিলাতি কুত্তা নিয়ে অনুষ্ঠান করে,,,। ",sadness
ভাই রোকিয়াকে দেখতে চাই ,joy
পাটিয়ে দিছেন ভাই বলার ভাষা নেই হাশির ঠেলাই খাট বেঙ্গে গেছে 😝 ,joy
ভাইয়া শুধু গাড়ি নিয়ে খেলা যাক ,joy
এই মানুষটিকে সবার সামনে এনে কটিন শান্তি দেওয়া হোক। ফাসি দেওয়া হোক এদের। ,sadness
"আপনার ছোট পোলাপানের মত ন্যাকামি পছন্দ করি না,, ",sadness
মিউজিক টা একদূম বাজে ,sadness
জীবনে প্রথম স্বপ্নে দেখার ব্যাক্তির সাথে বাস্তবে দেখা হওয়ার কথা । এটাই ওর আর আমার সাথে ১ম এবং শেষ দেখা । এরই মাঝে কত বর্ষা এলো আর গেলো জানেন ,anger
"অসাধারণ, পারভেজ ভাই😍 অসাধারণ কম্বিনেশন ডিজে রাহাত ",love
এই খবর ইন্টারনেট-বাহিত হয়ে ছড়িয়ে পড়েছে বিশ্বে। তবু মেসিকে বের করতে পারেনি কলকাতার রাস্তাঘাট। গঞ্জালো হিগুয়াইন ,sadness
কাফিরের বাঁচ্চা আল্লাহ্ তোদের বিচার করবে! আল্লাহ্ তোদের বিচার করবেই!!! ইয়া আল্লাহ্ হিদায়াত যদি এদের কপালে না থাকে ,sadness
এটা মধ্যবিত্তের জন্য নয় ..সবকিছুর দাম বেশি ,anger
টিভির দর্শক ও অপামর ক্রিকেট-পাগলা বাঙ্গালীর কাছে ,joy
ব্যাটা আবুল কোনহানকার ,sadness
"খুবই মজাদার, হাস‍্যরসিক রাষ্ট্রপতি। মানুষটির মধ্যে এতটুকু অহংকার নেই। একেবারে সাধাসিধে মাটির মানুষ। মনের কথা সকলের সামনে খুলে বলতে ভালোবাসেন। বাংলাদেশের রাজনীতিতে না আগে কখনো এত ভালো মানুষ সর্বোচ্চ পদে ছিল না ভবিষ্যতে থাকবে। আপনার তুলনা শুধুমাত্র আপনিই। খুব খুব ভালো থাকুন স‍্যার, সুস্থ থাকুন। ভারত থেকে আপনাকে শ্রদ্ধা ও কোটি কোটি প্রণাম স‍্যার।। ",love
ভাইয়া আপনার ভিডিও অনেক ভালো লাগে। ভাইয়া আমি আপনার সাথে একবার দেখা করতে চাই ভাইয়া প্লিজ প্লিজ প্লিজ বলেন আমি কোথাই আসবো আর আমার বান্দরবান জেলার আলীকদম আসার আমন্ত্রন রইলো..... ,love
আশরাফুলকে দেখতে চাই জাতিয় দলে ,love
আবিসা মনি শুভ জন্মদিন। মনি তুমি ভালো মানুষ হও। তোমার জন্য দোয়া করি।অনেক অনেক ভালোবাসা তোমার জন্য মামনি😍 ,love
কঠিন বাস্তবতা। বাস্তবে এই রকম কমই হয়..... ,anger
সত্যি আজ মন থেকে আপনাকে স্যালুট জানাই😍😍 ,love
গল্পটা ভালোই বানান ,joy
"ফাসি দেওয়া হক। এইটাই বিচার,,,,,,,,,,,, ",sadness
দোয়া করি এভাবে জানি সবার মানের আশা পুরনো হয় ,joy
গানটা যত শুনি ততই ভালো লাগে। ,joy
বার বার শুনতে ইচ্ছে করে গানটা..... ,joy
তাদের কে চিত করে শুয়িয়ে সোনার দুটি বিচির মধ্যে পাথর দিয়ে আঘাত করা হোক ,sadness
আল্লাহ যেন আকবরের বোনকে ভালো রাখে আর জান্নাতি হবার তৌফিক দান করুক আল্লাহু আমিন ইনশাল্লাহ ,love
এটা কিভাবে কিনব ,surprise
তো আমি কি করতাম? ,sadness
বাকি রানাদের কে কেউ কিছু করার নাই ,anger
শুরুতেই ধনের নাটক দেখে খুব মজা পাচ্চি..😎😎 ,joy
"ডিজিটাল বাংলাদেশে,,ডিজিটাল রেপ ",sadness
ফুটবল রাজা শেখ রাসেল ,joy
এতো টাকা দিয়ে তাদের কাছ থেকে কেন কিনবো🖕 ,sadness
"ব্যাচেলার পয়েন্টও দেখবো কিছু দিনের বিতরে,ইনশাআল্লাহ ",love
কেন হিংসে হয় ? ,sadness
ইনশাল্লাহ মোস্তাফিজুর রহমান ২০১৯ বিশ্বকাপের মধ্যে নিজের সেরাটা ধরে তুলবে আশা করছি ,joy
আর আমি টিউশনি করে নিজের খরচ চালাই। তারপরও ওর শর্ত একটাই ,anger
কুমিল্লা বেষ্ট হবে💙💙 ,love
"ভাই এই প্রথম আপনার ভিডিও দেখলাম, আর যা দেখলাম চোখ কপালে উঠার মত ",surprise
আরে তোদের পতাকার জন্ম তো আমরাই দিয়েছি বাপের কালে কাপ জিতীশ নি জিতে এমন করছিস ভালো করে ভিডিও দেখ কে কি করেছে ,sadness
অনেক ভালো লাগলো গানটা শুনে ,joy
ওই সিরিজে সাকিবভাই বা অন্য কেও দলে ছিলেন না ইন্জুরির জন্য বা অন্য কোনো কারণে।।পরের সিরিজে উনি ব্যাক করায় কায়েসভাই কেই জায়গা ছেড়ে দিতে হইছে।।অাবার জাতীয় লিগে পার্ফম করে গেছেন ,anger
মাগী কে গালি দিলেও খুসি হবে তাই সরকার নিষিদ্ধ করে দেন এসব গান মিউজিক গান ,sadness
আওয়ামী লীগ আর পুলিশ. একই কুত্তার বাচ্চা এটা. সবাই জানে ,sadness
একদম ঠিক কথা ভাইয়া ,joy
"মানুষের কোনো বিবেন নাই,,, ",anger
বাসায় উঠে ধরা ধরি করবি.... পুরাই ডিপজল ডায়লগ...😁😁😁 ,joy
তবে কেন মিছে এ ভালবাসা? গভীর আবেগে আমার চোখে জল এসে গেল। আমি সেই জল গোপন করবার জন্য জানালা দিয়ে তাকিয়ে বললাম ,anger
এসব দুষ্কৃতিকারীদের রুখে দিন। ,sadness
মাইয়্যাডা ছাগলের ৩ নাম্বার বাচ্চার মত লাফায় ক্যা... ,sadness
আপনি যদি ছেলেটার ফোন নাম্বার দিতেন খুব ভালো হইতো ,joy
সরী টো সে দ্যাট মোসারফ করিমের অভার কনফিডেন্স গুলাই দিন দিন তার জনপ্রিয়তায় প্রশ্নবিদ্ধ করবে! ,anger
ভাই আমি আপনার বড় ফেন আ ,love
আসাম যাবো। ☺ ,joy
হ তার লেভেল আপনার মাথার উপরে 😁😁 ,joy
কেউ ঠেলাঠেলি কইরো নাহ সবাইকে কমেন্ট পড়ার সুজগ দিয়া হইবে লাইনে খাড়াউ😂😂 ,joy
ভিডিও টা দেখে সত্যি মন জুড়িয়ে গেলো। ধন্যবাদ ভাইয়া। ,love
ওই ঘটনায় ২৬জন নিহত হয়েছিলেন। আমরা সোহেলের পরিবার ,anger
সেটা বলে বোঝাতে পারবো না। আপনাদের কাছে কৃতজ্ঞ। আয়েশাকে যখন আমি দেখি ,joy
নায়িকার বয়স নায়কের মায়ের মত ,sadness
তোমায় ছোট করে দেখছি না ,anger
কিন্তু আশানুরূপ নয়। সেই সিদ্ধান্তের লাভ ক্ষতির হিসাব সে আজো মিলাতে পারেনি। আজ সে অর্পণাকে চায় ,anger
পারিয়ার চামচা গুলারেউ ধরে ১০ বছর করে জেল দিতে হবে ,sadness
"এগুলা কি হইতাছে আমাদের দেশে! খুন,নারী,শিশু ধর্ষণ। পুলিশ কি বালডা হালায়।এগুলারে জেলে ডুকাইয়া পোলাও,কুরমা খাওয়ায়।কুত্তার বাচ্চাগুলারে ক্রসফায়ার করতে পারে না।।আমার সাওয়ার দেশ।।।।।।।।।সাওয়া।সোনা না। ",sadness
বাংলাদেশে অপরাধী+এইসব বালের গানই ভাইরাল ,sadness
ভালো কাজের পাশে আল্লাহ থাকেন সব সময়।অনেক ধন্যবাদ ভাই আপনাদের। ,joy
বাংলাদেশের দল জানাই আন্তরিক অভিনন্দন এবং শুভেচ্ছা ,love
অচেনা লোকের সামনে পড়লে ঠিক কী করা উচিত। সঙ্কুচিত খুব। নিজের মধ্যে নিজেকে গুটিয়ে রেখেছেন। তাঁর বিপন্ন শৈশব ,anger
"লিটন দাসের ব্যাটিং ইমরুল কায়েসের চাইতে ভালো, কারন লিটন দাসের প্রতিটা শট গ্যাপ শট, আর কাবার ড্রাইভ গুলো মাটি কামরিয়ে যায়। আর ইমরুল কায়েস এই কয়দিন ভালো খেলে আর শটগুলো উড়ন্ত শট। ",joy
আমার এই ভিডিও টা দেখে ভালো লাগছে ,joy
ফেসবুকে আপনার ফ্রেন্ড হতে চাই প্লিজ আমাকে ফ্রেন্ড অ্যাড দিবেন ,love
ভাই দাম এতো কম বলে ভিডিওর সময় কিন্তু কিনতে গেলে দাম ডাবল হয়ে যায়? ,anger
এরকম অবিচার দেখলে মনে হয় তাদের আল্লাহ খোদা নেই ,anger
ও সানজূ দেখে নাই ,anger
অথছ কে বা কারা খুন করলো এবং কে খুন হলো তার কিছুই জানতে পারলো না আনু। একটু আধটু প্রতিবাদের জোর আনুর ছেলে বেলার স্বভাব ,anger
বাকি রানারা খেলনা পেলোনা :( ,anger
এই রানা অনেক আগেই সাবলম্বী হয়েছে। পারলে অন্য রানাদের পড়ালেখার দায়িত্ব নিন। তাবিব ভাইয়ের কাছেই না হয় রানা থাকবে। উলটা তেলা মাথায় তেল দিচ্ছেন কেন? রানা কে হাইলাইট করে এক্সট্রা কিছু টাকা কামানোর ধান্দায়? ,sadness
গানটা অনেক ভাল লাগলো ,joy
বেয়াদুপির ফল রশিদ খাঁন ,sadness
বলে ওঠে - ''আমি ছাড়া আরো দুইজন ওইখানে আটকা পড়ে আছে ,anger
সত্যি অসাধারণ 😭😭 ,joy
আজকের মত ভাইয়া আপনার কোন রোস্ট ভিওডিও দেখে এত হাসি বা মজা পাইনাই....😸😸😸😸😸😋😋😊😊 ,joy
অন্যের দেশকে সম্মান করার কাতরতা। নিজের দেশের পতাকাকে সম্মান করার মতোই স্থির হয়ে তিনি তাকিয়ে রইলেন তারুণ্যের জোয়ারে। পাশ ফিরে তাকিয়ে দেখি ,joy
এনাদার কামলা সং! 😣 বালামার ,sadness
"আমারা সবাই একা কিন্তু সবাই মিলে আমরা একা না,,এভাবে একজন একজনের দায়িত্ব নিলে রানারা পাবে একটা সুন্দর জীবন 😍😍 ",joy
জামাই মানেই ত্যাড়া। -এত বড় কথা ,sadness
ভাইয়া গানটা খুবি ভালো লাকছে আমার কাছে ,joy
ভালোবাসা বেরে গেলো তিনজনের প্রতিই ,love
অফার মন্দ নহে। আগের বার পদ্মা সেতু নাহয় মিস হয়া গেছে ,joy
অনেক খুশি হলাম। আফ্রিদি 😍😍 তাবিব 😍😍 রানা 😍😍 ,joy
কোনো ভুল নেই ,joy
সাব্বির কি ভাবে দলে চান্স পায় ? ,sadness
আর ও নামত তার একটু পরে। প্রতিদিনই আমাদের চোখে চোখ পড়ত। মনে হত সে কিছু বলতে চাচ্ছে ,joy
তাবিব ভাই কে একটা শার্ট গিফট করে সম্মানিত করলে খুব খুশি হতাম ,joy
এখন যত বেশি অশ্লীলতা তত বেশি ভিও।এখন গানের কথা থেকে বেশি গানের ভিডিও প্রাধান্য পায় বেশি। ,anger
যদিওবা হিন্দি মুভি বালা অবলম্বনে করা হয়েছে তবে মোটামুটি গোছালো ছিল ,joy
কিভাবে যেনা করতে হয় তা এইসব নাটক দেখেই অনেক কিছু শেখা যায়।ভাল কিছু শেখার মত নাটক চাই।।। ,sadness
"এরকম সাইকেল, শপিং অন্য রানারা পেতে পারতোনা। ভেবেছিলাম অন্য রানাদের দেখা পাবো আজকে ",anger
উই লাভ ইউ ,love
অনেক ভাল লাগল ভাই ,joy
"কাবিলা মামায়,একটা মালওই ভাই 😂😂 ",joy
"চাপাবাজ,,, অনেক ভালো নিশো ভাই ",joy
এভাবেই পতিতালয়ে পরিণত হবে বাংলাদেশ ,sadness
হইলে কি আর তোর মতো ছেলেরে কষ্ট দিতো!দরকার হলে তাদের গার্লফ্রেন্ডকেও দিয়ে দিবে আমায় ,sadness
তোর মতো আবালচোদা কত কিছু বোঝে যা না হয় তাও বোঝ। ,sadness
স্বপ্নের মতো রঙিন হয় না। একটু সুখের জন্যে অনেক কিছুর দরকার নেই শুধুমাত্র মনটা একটু ভালো করুন ,joy
সেই তুহিদ আফরিদি ভাই তোমার এই ভিডিওটা দেখি অনেক অনেক ভালো লাগছে ,joy
বগুরা যাও ভাইয়া ,joy
তোদের ফোন দিয়ে কথা বলার মতো সময়টাও আর পাই না আগের মতো। তুই মন খারাপ করিস না ,anger
ভাইয়া আপনার মতো সবার মন মানসিকতা থাকলে দেশে কোনো রানা থাকতো না ,joy
আজকে বাংলাদেশ জিতেছে বলে কতজন কত রকম কমেন্ট করে না জিতলে দেখা যেত কি হইত। ,sadness
খাদ্য ভেজাল যারা করে তাদেরকে গুলি করে মারার আইন করা হোক ,sadness
আমার বিশ্বাস মোস্তাফিজ পারবে ,love
ভারত কে সেশ করে দাও বিসসের সবচাইতে নাস্তিক দেশ ভারত ,sadness
মনডা এতো সাদা কেন আপনার? ,joy
কিশোর কালথেকে শুনে আসছি তুই এখনো ছোট পদ্দাসেতুর কাজ শেষ হলে বিয়ে দিবো আজ আমি যৌবন পার করে ফেলাম তাও কাজ শেষ হলোনা আবার যদি আরেকটা সেতুর কাজ শুরু হয় তবে আমার আর বিয় করালাগবেনা একবারে ছেলের বিয়ে দিয়ে দিবো ,sadness
হের মত কুলাঙ্গার দুনিয়া থাকার দরকার নাই ,sadness
ব্রাক্ষণন বাড়িয়ার মানুষেররা আবাল নাকি। ,sadness
এটা পেলান্টি না ভাই এটা পেনাল্টি ,anger
"মিডিয়া ভাইরা আঙ্গুল চুসো, ",sadness
আনেক ভাল লাগল ভাই। ,joy
তোমাকে আমাদের মনে থাকবে ,love
অনঅনেক মজা পেলাম 😂😂😂 ,joy
আমার একটা খুব দরকার। ,anger
"আমার আপনার সবাই কে সুন্নাত শিখতে হবে,, ইসলামের শত্রু থাকবেই,, যেমন ছিল নমরুদ ফেরাউন,, তবে তাদের গালি দেওয়া যাবে না,, তাদের ভালো বাসতে হবে,, ",love
তার টাকাকে নয় ♥ ছেলেদের বলছি.... আপনি যদি চান যে একটি মেয়ে আপনাকে সারা জীবন ভালবাসবে ,love
বেশ ব্রিলিয়ান্ট মানুষ! ,surprise
ভাই ব্যাচেলর পয়েন্ট পরের পর্ব গুলাকি আদৌ আর আসবে না। অযথা আশা দিয়া রাথেন কেন? ,anger
কি লাভ হয় মোটিভেট এ? বাস্তবিক তো আলাদা ,anger
যখন দেখবে তোমার চুলে বাতাসের খেলা করা দেখে কেউ হাসছে না ,anger
বলার অপেক্ষা রাখে না সেই রকম খেলা হয়েছে বেস্ট অফ লাক বাংলাদেশ ক্রিকেট টিম ,joy
গাণিতিক সমাধানের ভিডিও গুলো দেখ। ওগুলো একটু বড় করে করার চেষ্টা করছি। ,joy
আগের বাজনা সুন্দর ছিল ,joy
রাইট ভাই হাসি পাইলাম ,joy
তোর কি দরকার আছে মিথ্যা বলে গুনাহকামানো ,sadness
ধন্যবাদ তৌহিদ আফ্রিদি ভাই কে পথ শিশু রানার পাশে দাড়ানোর জন্য ,joy
উরুগুয়ের একটি জয় ,joy
তোমার আব্বুর কথা অনেক সুন্দর। 😊 ,joy
সব খাবারে একই অবস্থা ,anger
তুই মরে দাক মুছলমান হয়ে ললনাগান শুনুত ফেরেশতা বের করবে। তাই নামাজ পড়। ,sadness
কলিজাৰ টুকুৰা তোমাক কিন্তু লাগিবই মোৰ ,joy
চেয়ারম্যানের মেয়ের পিঠে ফোঁড়া ,anger
আশা করি এই রানার মত আরও অনেক রানার পাশে দাঁড়াবে তৌহিদ আফ্রিদি💖💖 ,love
এই হলো বাপের বেটি ,joy
"জুটিটা খুবিই ভালো লাগে,,,, ",love
নোয়াখালী আর বরিশাল এ দুই এলাকার মানুষ অনেক বদ কিসিমের হয়!! ,sadness
ও বিয়া করলে ত খানকির ববসা কমে জাইব।বুঝেন না মিয়া। ,sadness
আফরিদি বাই তুমি তো সব জেলায় ঘুরলা কিন্তু বরগুনা জেলায় আসলানা।।।কেন? ,anger
কিছু বলার নাই এখানে আমার কান্না এসে গেলো ,anger
নকল ছাড়া আর কি পারোছ?? ,sadness
মুখ হা করতে সমস্যা ,anger
তার অন্তর্নিহিত শক্তি তো হৃদিই । তারপর শান্ত এল ,joy
এরা এখনো মূর্খো রয়ে গিয়াছে ,anger
মেয়েকে বেশি ভালো লাগে ,love
এক কথায় অসাধারণ 💜💜💜 ,joy
"আজকে আরেক তৌহিদ আফ্রিদিকে দেখতে পেলাম পুরো ভিডিওটাই,,,,,,সব সময় ভালোবেসেছি, ভালোবাসি এবং ভালোবাসব ",love
"রদ টাকার আবার ভুল ডিসিশন দেয়, শালায় খালি বাঙালি পিছনে লাগে কেন ",sadness
"বিমানে ভিডিও করা নিষেধ,,, ",anger
গাধা রানার টাকা পয়সার অভাব হবেনা তার দিন ফিরে গেছে।পারলে অন্য রানার খবর নে। তারে দিয়ে আর তুই বাইরাল হওয়ার চেষ্টা করিছ না ,sadness
ভালোই হয়ছে! মুগ্ধ হলাম😂 ,joy
তবু ঝরাইয়া দিল তোমারে এত পাগল করিয়া দিলো ,anger
আমরা দিনশেষে ইম্রুল ব্রোর পাগলা ফ্যানই থাকব। এখনো রাতে ঘুমাবার সময় ঠিকই প্রতিরাত ডান দিকে কাইত হয়ে ঘুমাব ,joy
হত্যাকরা মহাপাপ সংসারে বোনিবনা না হলে আলাদা হয়ে যাওয়া তথা তালাক দেওয়া অনেক ভালো. ,anger
ভাই বগুড়া মহাস্থানগড় আসেন। ,joy
কিছু একটা করতে হবে। ভারতের ৩৯ হাজার টাকার রিং আমরা কোনভাবেই ১ লাখ ৪৯ হাজার টাকায় কিনব না ,sadness
মহৎ মানুষ গুলো বেচে থাক আজীবন। ,love
বাই বাংদেশের জাহিদ খাঁনকে নিয়ে একটা বিডিও বানান ,joy
একই পর্দায় দুইজন প্রিয় মানুষ।।।ভালোবাসা রইল।।। ,love
তিশার সাথের মেয়েটা খুব কিউট ,joy
আমি তো আপনার … … … … … … … … … … টুথব্রাশ! কী ভাবছিলেন আপনি আমাকে ,sadness
আসলেই কিছু মৌলভীর করমচোদের কারণে আজ মানুষ মানুষকে চিনে না। ,sadness
"আফ্রিদি তুমি অনেক বড় মনের মানুষ ভাই,আরো বড় হও মাদ্রাসার এতিম শিশুদের পাশে একটু দারাবে ভাইয়া ",love
ভাইরে এইভাবে ধর্ম নিয়ে লাইকের ব্যবসা না করলে হয়না? ,sadness
অনেক কিছু শিখিয়েছে ,joy
ভাইয়া চোখে পানি এসে গেল এটাই আশা করি আপনার কাছে থ্যাংক ইউ ভাইয়া ,joy
আনেক সুনদর গান ,joy
কলেজ কর্তৃপক্ষ এতদিন এই ভিডিওটি গোপন করেছিল কেন??? ,sadness
ঠিক বলেছেন আপনি ,joy
আজকে খেলার ভিতর পাওয়াই সাইফ বোলিং ,joy
তাড়া তাড়ি পেয়াজ আমদানি করা হোক। পিয়াজ আমদানি করা ছাড়া কোন বিকল্প নেই। ধন্যবাদ ,anger
সেটা নয় । আমি জানি বিশ্বাস করি ,joy
একটা ভুল করে প্রিয় মানুষটাকে হারায়ে পেলছি ,anger
আমার মেমরী কমে গেছে। কিছুই মনে থাকেনা।“ . ইঞ্জিনিয়ার– “নার্স ,anger
মোট ছয়টি পশু আছে ,joy
হৃদয় গহিনে তোমায় ,love
তোমার প্রতি আমার উপহার।' এই কথা শুনে বৃ্দ্ধ আফসোস করে উঠলো! সে মনে মনে ভাবলো ,anger
হেভি ছিল গান টা 😋😋 ,joy
নেইম ইজ দ্যা বেষ্ট ,love
"মানুষ এমন কেন হয়,,এটা মানুষ নয় মানুষ হতে পারেনা,,এটাকে টুকরা টুকরা করে পেলা উচিৎ ",sadness
সুর কপি করা গান!!! ,sadness
"তোরে দেহ দেওয়া টাও উচিৎ হয় নাই, সবাইরে কইয়া দিসস। ",sadness
সময় টিভির মাইরে বাপ শালার পুতেরা বালের রিপোর্ট বানাস রিপোর্টে পুরা কথা বলস না কেন পোস্ট ভাবে দেখা যাচ্ছে এই খুন সাথে জড়িত তার ওয়াইফ তোরা তো একবারও বলিস নি এই খুনের সাথে জড়িত তার স্ত্রী স্বামীকে কুপিয়ে হত্যা করছে আর সে স্বাভাবিকভাবে চলাফেরা করছে ,sadness
ভলক টা অসাদারন হইচে ভাই ,joy
এখন তুমি ঘুমিয়ে থাকলে স্বপ্ন পাঠাও ,joy
অনেক ভালো লাগলো থ্যাঙ্ক ইউ আপনাকে ভাই ,joy
"ফালতু, মন জয় করবে।আর কোন কাজ নাই। অশ্লীলতা ভরা ",sadness
"ভাইরাল হওয়া রানার দায়িত্ব না নিয়ে ভাইরাল না হওয়া কাউকে এগুলো কিনে দিন,,,সালা ধান্দাবাজ আফ্রদী ",sadness
"বাংলা নাটকে খারাপ ভাষা ব্যবহার হচ্ছে ইদানিং বেশি ৫মিনিটও পারবিনা ৪০মিনিট টাইম চাও, আসলে সবাই এক সাথে বসে মুভি নাটক দেখার দিন শেষ 😥😥😥 ",anger
ধন্যবাদ আপনাদের সবাইকে ,joy
"আরে মিয়া দেশের ১৮ কোটি জনগণ সবাই বিএনপির দালাল। আর তোরা আ. লীগ ভারতের দালাল, তাড়াতাড়ি হিন্দুধর্ম গ্রহণ করে ভারতে চলে যা। তোদের জন্য নাগরিকত্ব সংশোধনী আইন করছে। ",sadness
ভালো লাগলো খুব হাসলাম নাটকের মেকিং খুব ভালো ছিল ,joy
পাকি কুত্তা আলিম দার নডির পোলারা ভারতের দালাল। ,sadness
শেষে রিপনকে রাখলে আরো জোস লাগতো😂 ,joy
তার মানে প্রথম সেশনেই যোগ হয়েছে ১০১। ততক্ষণে আরেক ওপেনার তামিম ইকবালের ফিফটি (৬৫) তো হয়েছেই ,joy
তাই ও তোমাকে ভুল করে..... ও ভেবেছে ওর বাপ ফিরে এসেছে। সব শুনে আনু ছেলেটাকে কোলে তুলে নেয় এবং ছেলেটাকে আসস্ত করে বলে ,love
মজা পাইলাম নাটক টা ,joy
তোর বউ মানে আমার বউ🤣- কাবিলা ,joy
যারা হযরত মুহাম্মদ (স) কে লাইক করেন তাহলে সারা দেন ,joy
ভাই আমার কমেন্ট টা পরবেন ,joy
ভাটি অঞ্চলে ছিল সেই কন্যার দেশ দু’চোখে তার আহা রে কি মায়া ,love
রীমা জানতেন বাংলাদেশের রাজনীতিতে তার বাবা একজন জনপ্রিয় মানুষ। কিন্তু এতটা জনপ্রিয় ছিলেন ,joy
বাংলাদেশই এক নাম্বার উগ্রপন্থী উগ্রবাদী হচ্ছেন আওয়ামীলীগ এবং তার পুলিশ বাহিনী ... ,sadness
তারপর আমি তোমাকে ১টা মেসেজ দেয়ার পর সে কি কান্না তোমার। তখন না পারতেছিলাম তোমাকে মানা করতে না পারতেছিলাম হা বলতে। তারপর যাই হোক ,anger
আমারও জানার ইচ্ছা ,joy
পাকিস্তান চোদাও কেন👃 ,sadness
আর আমাদের কিং মেসি কিভাবে দেখে ,love
অসাধারণ ভাইয়া গান টা ,joy
তোদের মতো এতো ছোট মনে না। মসজিদের পাশে মণ্ডপ বানালেও সেখানে কোন দাঙ্গা হামলা হয়নি ,sadness
বালের নুুয়াকালির কথা বুঝিনা ,sadness
"দেহ দিলা, মনটা দিল না👿 খান্কির পোলা। ",sadness
আমি যে হিরো আলমগীর হোসেনের জন্য গাড়িতে উঠেছি ,joy
প্রধান শয়তান ধর্ষকদের মা-বাপ!এদের সহ বিচারের আওতায় আনা উচিৎ বলে মনে করি। ,sadness
আস্তাগফিরুল্লাহ!! আল্লাহ মাফ করুন.. ,anger
